TP9,AF7,AF8,TP10,frontal_asymmetry,temporal_asymmetry,stress_label,participant_id,trial_number,timestamp
0.05384327860085736,0.4150963587374339,-0.3249587366843043,-0.6689723007259285,0.419380767837622,0.4961701083195198,0,2126,2,2024-01-01 00:00:00
-0.1251752042983374,0.2602998974698685,-0.1721574942605193,-0.32959101993072537,0.20095643445297218,0.1103132791687016,0,2130,2,2024-01-01 00:00:01
0.09640725096453928,-0.021758910242030582,-0.3587179846706635,-0.18482748426038786,0.15378988123480197,0.18810231867888527,1,2116,1,2024-01-01 00:00:02
0.343190860377123,-0.25215512287413433,-0.2192201907770357,0.5608274882528581,-0.10496661682911668,-0.1389381833228689,0,2107,4,2024-01-01 00:00:03
-0.1522090608974842,0.1864723896916598,-0.6758024659122528,0.12951908849931493,0.531767813035368,-0.23665198620005878,1,2116,5,2024-01-01 00:00:04
-0.15220443226008318,0.08710396485520966,-0.06912689707970499,-0.48352973254571907,0.007825100321223522,0.197287866357994,0,2135,3,2024-01-01 00:00:05
0.3590304342028303,0.2507000014520011,-0.13019682796310472,0.10667053145264593,0.16290101136061175,0.19541452475553833,0,2116,1,2024-01-01 00:00:06
0.1301671074036468,0.16591266002040728,-0.3658212378995994,-0.5521635082316669,0.2841886588584308,0.47557847714116663,0,2112,5,2024-01-01 00:00:07
-0.2185527457011669,0.30103328289381737,0.05928312916749601,0.2999960033161737,0.053473757927858356,-0.4112917612069288,0,2135,5,2024-01-01 00:00:08
0.06676853885778744,-0.21573166634723195,0.13942551111722734,-0.20346457788187977,-0.3512971082936722,0.17718316034924175,0,2121,6,2024-01-01 00:00:09
-0.21684519167782568,0.38837053442922076,-0.5934341663743674,-0.0811524141423956,0.6041389870394225,-0.1401132990331192,1,2136,2,2024-01-01 00:00:10
-0.21749702735272913,0.023229862952541147,-0.3501673909917553,0.3787660164037774,0.17731299140118062,-0.46618893582566034,0,2117,3,2024-01-01 00:00:11
-0.01797852107068465,0.6354944526541657,-0.3520153041324102,-0.4678739449689705,0.586638926519744,0.2953990230207315,0,2132,1,2024-01-01 00:00:12
-0.6256026742886334,-0.26593227019402976,-0.40118515755586037,-0.5035009597685498,0.023146720601953774,-0.17368551929487086,0,2106,2,2024-01-01 00:00:13
-0.5724979539075203,0.5248570418667542,0.10829991695145003,-0.23990813087216278,0.16561696573336548,-0.31706446642654396,1,2124,6,2024-01-01 00:00:14
-0.24471941009475284,0.023331331596190497,-0.18635537614083852,0.28563815680448257,0.05378440579034338,-0.42241539883796886,0,2127,6,2024-01-01 00:00:15
-0.37174046037803365,-0.2536163533896243,-0.20670989622568237,-0.5431047071726075,-0.11537920567931381,0.06086433524773893,0,2120,2,2024-01-01 00:00:16
0.0024006931790208075,-0.19898774874759617,-0.7075478352789351,-0.9684755171346869,0.2989003335493243,0.6663197544903015,0,2125,4,2024-01-01 00:00:17
